Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-11-03 09:15:00+05:30,169.5099945,171.6499939,169.1600037,170.4700012,0,0,0
2025-11-03 10:15:00+05:30,170.3899994,170.8899994,170.1000061,170.5399933,128598,0,0
2025-11-03 11:15:00+05:30,170.4199982,170.5,169.6000061,169.6000061,121569,0,0
2025-11-03 12:15:00+05:30,169.6000061,170,169.6000061,170,69157,0,0
2025-11-03 13:15:00+05:30,169.8999939,169.9799957,169.6000061,169.6100006,61680,0,0
2025-11-03 14:15:00+05:30,169.6999969,170.4900055,169.3899994,169.6600037,220128,0,0
2025-11-03 15:15:00+05:30,169.7200012,169.7299957,169,169.1999969,217974,0,0
2025-11-04 09:15:00+05:30,169.5599976,169.5599976,167.75,167.8200073,0,0,0
2025-11-04 10:15:00+05:30,167.7700043,168.3000031,167.5399933,167.8600006,190599,0,0
2025-11-04 11:15:00+05:30,167.8600006,168.1999969,167.6100006,168.1000061,161372,0,0
2025-11-04 12:15:00+05:30,168.1199951,168.25,167.9499969,167.9499969,68893,0,0
2025-11-04 13:15:00+05:30,167.9700012,168.3399963,167.6999969,167.8399963,115643,0,0
2025-11-04 14:15:00+05:30,167.8600006,168.25,167.6900024,168.2299957,223152,0,0
2025-11-04 15:15:00+05:30,168.2299957,168.4600067,168.0500031,168.1600037,136223,0,0
2025-11-06 09:15:00+05:30,168.4400024,168.4400024,164.5099945,164.5899963,0,0,0
2025-11-06 10:15:00+05:30,164.6499939,165.25,164.5,164.9600067,239579,0,0
2025-11-06 11:15:00+05:30,164.9600067,164.9600067,163.9900055,164,208652,0,0
2025-11-06 12:15:00+05:30,164.0200043,165.0099945,163.9600067,165.0099945,174963,0,0
2025-11-06 13:15:00+05:30,165.0899963,165.1000061,164.2799988,164.6799927,99029,0,0
2025-11-06 14:15:00+05:30,164.6799927,164.9100037,163.1000061,163.3500061,391026,0,0
2025-11-06 15:15:00+05:30,163.3500061,163.7200012,163,163.0099945,211589,0,0
2025-11-07 09:15:00+05:30,162.2799988,162.2799988,159.8300018,160.9799957,0,0,0
2025-11-07 10:15:00+05:30,161,162,160.8200073,161.8899994,156501,0,0
2025-11-07 11:15:00+05:30,161.9700012,163.1999969,161.8999939,162.2100067,186303,0,0
2025-11-07 12:15:00+05:30,162.1300049,163.2599945,161.9100037,162.8999939,126843,0,0
2025-11-07 13:15:00+05:30,162.8999939,163.9499969,162.8999939,163.1699982,223665,0,0
2025-11-07 14:15:00+05:30,163.2400055,163.8999939,163.1000061,163.4499969,176763,0,0
2025-11-07 15:15:00+05:30,163.4499969,163.9499969,163.3399963,163.9499969,110374,0,0
2025-11-10 09:15:00+05:30,164.3000031,164.7799988,163.2799988,163.5,0,0,0
2025-11-10 10:15:00+05:30,163.4100037,164.3699951,163.4100037,164.1900024,81544,0,0
2025-11-10 11:15:00+05:30,164.2700043,164.3899994,164.0299988,164.2299957,51192,0,0
2025-11-10 12:15:00+05:30,164.2899933,164.3399963,163.5899963,163.8000031,76538,0,0
2025-11-10 13:15:00+05:30,163.8600006,164.1000061,163.5700073,163.7299957,56887,0,0
2025-11-10 14:15:00+05:30,163.7299957,163.9499969,162.8699951,163.0599976,164425,0,0
2025-11-10 15:15:00+05:30,163.0599976,163.0599976,162.6799927,162.75,78410,0,0
2025-11-11 09:15:00+05:30,163.1999969,164.0500031,162.1600037,163.0899963,0,0,0
2025-11-11 10:15:00+05:30,163.1499939,164.2299957,163,163.5500031,191720,0,0
2025-11-11 11:15:00+05:30,163.4499969,163.9799957,163.1999969,163.7400055,107196,0,0
2025-11-11 12:15:00+05:30,163.7400055,164.25,163.5500031,163.8999939,81958,0,0
2025-11-11 13:15:00+05:30,163.9199982,164.5,163.8200073,164.0700073,119461,0,0
2025-11-11 14:15:00+05:30,163.9799957,165.1199951,163.9100037,164.3899994,192994,0,0
2025-11-11 15:15:00+05:30,164.3399963,164.4900055,164,164,120116,0,0
2025-11-12 09:15:00+05:30,165.2899933,167.8500061,164.3300018,166.7299957,0,0,0
2025-11-12 10:15:00+05:30,166.6399994,166.9100037,165.7599945,166.3000031,194198,0,0
2025-11-12 11:15:00+05:30,166.25,167.6399994,166.1600037,167,173894,0,0
2025-11-12 12:15:00+05:30,166.9100037,167.3999939,166.5099945,166.75,97338,0,0
2025-11-12 13:15:00+05:30,166.75,167.1999969,166.5599976,166.7599945,80513,0,0
2025-11-12 14:15:00+05:30,166.6900024,167.1199951,166.5099945,166.5899963,159870,0,0
2025-11-12 15:15:00+05:30,166.5899963,166.8000031,166,166,150986,0,0
2025-11-13 09:15:00+05:30,161.4199982,164,161.1999969,162.3000031,0,0,0
2025-11-13 10:15:00+05:30,162.3500061,163.5500031,162.1999969,162.4400024,491672,0,0
2025-11-13 11:15:00+05:30,162.4499969,162.4799957,161.9100037,162.4499969,290109,0,0
2025-11-13 12:15:00+05:30,162.3999939,162.4600067,161.0700073,161.7100067,521951,0,0
2025-11-13 13:15:00+05:30,161.7100067,162,161.3500061,161.5099945,300261,0,0
2025-11-13 14:15:00+05:30,161.5099945,161.8300018,161.1499939,161.25,335544,0,0
2025-11-13 15:15:00+05:30,161.2400055,161.3300018,160.7100067,161.2100067,354179,0,0
2025-11-14 09:15:00+05:30,161.2599945,163.8300018,161.2599945,162.1900024,0,0,0
2025-11-14 10:15:00+05:30,162.2599945,163.3999939,162.2599945,162.6199951,225118,0,0
2025-11-14 11:15:00+05:30,162.6199951,163.3000031,162.5200043,163.0500031,159048,0,0
2025-11-14 12:15:00+05:30,163.0099945,167.6900024,162.8600006,165.6000061,1543960,0,0
2025-11-14 13:15:00+05:30,165.6199951,165.6199951,163.4700012,164.3200073,403920,0,0
2025-11-14 14:15:00+05:30,164.3300018,164.3800049,163.1499939,163.2599945,477230,0,0
2025-11-14 15:15:00+05:30,163.25,163.6000061,162.8899994,163.6000061,284328,0,0
2025-11-17 09:15:00+05:30,163.6499939,169.8999939,163.2100067,169.8899994,0,0,0
2025-11-17 10:15:00+05:30,169.8999939,172.25,168.6300049,169.3000031,5560545,0,0
2025-11-17 11:15:00+05:30,169.3000031,170.5,168.8000031,168.8500061,1490153,0,0
2025-11-17 12:15:00+05:30,168.8500061,169.7899933,168.5800018,168.7899933,835085,0,0
2025-11-17 13:15:00+05:30,168.7100067,169.1900024,168.2299957,168.3000031,471484,0,0
2025-11-17 14:15:00+05:30,168.3000031,169.25,168.1999969,168.7299957,607252,0,0
2025-11-17 15:15:00+05:30,168.6600037,168.9199982,168.0099945,168.1799927,613106,0,0
2025-11-18 09:15:00+05:30,169.9400024,169.9400024,166,166.1000061,0,0,0
2025-11-18 10:15:00+05:30,166.1000061,167.1399994,166.1000061,166.6100006,318487,0,0
2025-11-18 11:15:00+05:30,166.6999969,166.8999939,166.25,166.7400055,110064,0,0
2025-11-18 12:15:00+05:30,166.6699982,166.8500061,166.5,166.7200012,72368,0,0
2025-11-18 13:15:00+05:30,166.7100067,167.0899963,166.6900024,166.9400024,173261,0,0
2025-11-18 14:15:00+05:30,166.9400024,167.0299988,166.4499969,166.9499969,339880,0,0
2025-11-18 15:15:00+05:30,166.9900055,169.6799927,166.8600006,168.5,427076,0,0
2025-11-19 09:15:00+05:30,168.3000031,168.3000031,165.6600037,166.2400055,0,0,0
2025-11-19 10:15:00+05:30,166.1399994,166.4499969,165.6499939,165.75,97883,0,0
2025-11-19 11:15:00+05:30,165.75,166.3000031,165.6499939,166.1000061,94454,0,0
2025-11-19 12:15:00+05:30,166.0299988,166.3000031,166,166.0500031,59309,0,0
2025-11-19 13:15:00+05:30,166.0500031,166.1300049,165.4199982,165.5899963,151470,0,0
